job_title,job_location,job_type,job_description
Marketing Data Analyst (m/w/d),"Berlin, Berlin, Germany",Remote,"Als Marketing BI Analyst (m/w/d) im Global Digital Marketing & Sales Operations Team bist du maßgeblich dafür verantwortlich, datengetriebene Insights für unsere Marketing-, Service- und Vertriebsaktivitäten zu generieren und aufzubereiten. Durch die Aggregation, Analyse und Visualisierung von Daten aus verschiedenen Quellen trägst du entscheidend zur Optimierung unserer Customer Journey, der Effizienz unserer Marketing- und Lead-Generierungskampagnen, der Call Center Management Prozesse und der strategischen Entscheidungsfindung bei.

Was du bewirkst

Durchführung von Analysen der Customer Journey anhand der Global Digital Marketing Daten, um Trends zu identifizieren und Handlungsempfehlungen abzuleiten
Entwicklung, Pflege und Optimierung von Dashboards und Reportings in Power BI und Google Sheets zur Visualisierung und Überwachung von KPIs
Automatisierung und Optimierung von Datenprozessen und Sicherstellung der Datenqualität durch den Einsatz von Python, SQL und Databricks
Unterstützung des zentralen sowie globalen Marketings bei der Planung, dem Forecasting und dem unterjährigen Monitoring ihrer Ziel-KPIs 
Erstellung länderspezifischer Analysen, um Wachstum zu generieren und die Nutzung der digitalen Marketingkanäle in den einzelnen Märkten zu optimieren
Enge Zusammenarbeit mit den Data Engineering und Data Science Teams innerhalb der Viessmann IT
Aufbereitung von Ergebnissen in Form von Präsentationen, Reports und Zusammenfassungen für relevante Stakeholder

Das bist du

Abgeschlossenes Studium im Bereich Wirtschaftswissenschaften, BWL, Data Science oder einem vergleichbaren analytischen Bereich
Mehrjährige Berufserfahrung in den Bereichen Business Intelligence, Data Analytics, CRM oder in einem vergleichbaren analytischen Bereich
Sehr gute analytische Fähigkeiten sowie Kenntnisse in Statistik und Data Modeling
Fundierte Erfahrung mit Tools wie Power BI, Google Data Studio, Databricks und idealerweise auch mit Python, SQL oder ähnlichen Technologien
Erfahrung bei der Analyse von CRM, Call Center und/oder Performance Marketing Daten
Fähigkeit, komplexe Daten verständlich und wirkungsvoll aufzubereiten und zu präsentieren
Selbstständige, strukturierte Arbeitsweise und Freude an der Arbeit in einem internationalen, cross-funktionalen Team
Sprachkenntnisse in Deutsch und Englisch (mind. Level B2)

Auch wenn du nicht alle Punkte erfüllst, aber bereit für die Herausforderung bist, dann klicke trotzdem auf ""Bewerben"". Wir lieben deinen Spirit!

Das macht uns besonders

Unsere Mitarbeiter:innen sind der Schlüssel dazu, unsere Vision zum Leben zu erwecken. Basierend auf dieser Überzeugung haben wir Benefits für unsere Mitarbeiter:innen geschaffen:

Dich erwartet eine Festanstellung in einem erfolgreichen Unternehmen, in dem neue Technologien auf eine moderne Arbeitsplatzkultur treffen.
Bei Viessmann Climate Solutions bekommst du 30 Tage bezahlten Urlaub im Jahr.
Du hast als Mitarbeiter:in erfolgreich eine neue Kollegin oder einen Kollegen geworben? Als Dankeschön bekommst du eine Empfehlungsprämie.
Genieße unsere großartigen Exklusiv-Rabatte auf ausgewählte Viessmann Climate Solutions Produkte und Dienstleistungen.
Kleiner Energiekick zwischendurch gefällig? Bei uns stehen kostenlose gesunde Snacks und Getränke für dich bereit.
Für ein gesundes Miteinander: Unser Gesundheitsprogramm bietet einfachen Zugang zu Coachings und Therapie für unsere Mitarbeitenden und deren Familien.
Ob mit Job Bike oder mit Europcar – unsere Partnerschaften schonen gleichzeitig die Umwelt und deinen Geldbeutel.
Unsere Viessmann Akademie und externen Partner bieten zahlreiche fachliche und persönliche Weiterbildungsmöglichkeiten an.
Viessmann bietet dir, wann immer möglich, die Option zum mobilen Arbeiten und sorgt für die passende technische Ausstattung.
Bei uns kommt der Spaß nicht zu kurz, denn bei Viessmann freuen wir uns auf gemeinsame Events, wie unser monatliches Frühstück oder andere Teamevents.
Unsere flexiblen Arbeitszeiten ermöglichen es dir, Arbeit und Privatleben miteinander zu vereinbaren.
Kita oder Schule zu? Kein Problem! In unserem Eltern-Kind-Raum hat dein Nachwuchs ausreichend Platz und Spielzeuge und du hast einen voll ausgestatteten Arbeitsplatz.

Das sind wir

Wir sind Viessmann Climate Solutions. 1917 als Heiztechnik-Hersteller gegründet, sind wir heute, als Teil von Carrier, ein weltweit führender Anbieter für effiziente und systemische Klima- und erneuerbare Energielösungen für den Wohn- und Gewerbesektor. Wir decken alle Anwendungen ab: Heizen, Kühlen, Lüften, Wasser- und Luftqualität, Energieerzeugung und Energiespeicherung für den Wohn- und Gebäudesektor.

Unser integriertes Lösungsangebot verbindet Produkte und Systeme über digitale Plattformen und Dienstleistungen nahtlos zu einer ganzheitlichen Klima- und Energielösung und schafft so ein sicheres und verlässliches Wohlfühlklima für unsere Nutzer:innen. Alle Aktivitäten basieren auf unserem Unternehmensleitbild „Wir gestalten Lebensräume für zukünftige Generationen‟ und unsere Mitarbeiter:innen spielen dabei mit Leidenschaft eine aktive Rolle bei der Energiewende. Sei ein Teil von dieser spannenden Reise."
Online Data Analyst,Germany,Remote,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home.
A Day in the Life of an Online Data Analyst:
In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide
Completing research and evaluation tasks in a web-based environment such as verifying and comparing data, and determining the relevance and accuracy of information.
Join us today and be part of a dynamic and innovative team that is making a difference in the world!
TELUS Digital AI Community
Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.


Qualification Path

:
No previous professional experience is required to apply to this role, however, working on this project will require you to pass the basic requirements and go through a standard assessment process. This is a part-time long-term project and your work will be subject to our standard quality assurance checks during the term of this agreemen
t.Basic Requiremen
tsFull Professional Proficiency in English & German langua
geBeing a resident in Germany for the last Years consecutive years and having familiarity with current and historical business, media, sport, news, social media, and cultural affairs in Germa
nyAbility to follow guidelines and conduct online research using search engines, online maps, and website informati
onFlexibility to work across a diverse set of task types, including maps, news, audio tasks, and relevan
ceDaily access to a broadband internet connection, computer, and relevant softwa
reAssessme
ntIn order to be hired into the program, you’ll take an open book qualification exam that will determine your suitability for the position and complete ID verification. Our team will provide you with guidelines and learning materials before your qualification exam. You will be required to complete the exam in a specific timeframe but at your convenienc
e.Equal Opportuni
tyAll qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS Digital AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversit

y."
Social Media Data Analyst (w/m/d),"Berlin, Germany",Hybrid,"Daten über das Social Media Verhalten deiner Zielgruppe faszinieren dich? Du liebst es, aus einer großen, ungeordneten Menge an Zahlen, konkrete Schlüsse zu ziehen und dein gewonnenes Wissen für andere verständlich zu machen? Du bist außerdem detailverliebt und hast Lust neue Prozesse mitzugestalten?
Dann sucht unser Team Dich! Als Social Media Analyst (w/m/d).
Bewirb Dich! Auch wenn das Profil auf den ersten Blick nicht zu 100% passt.

Was erwartet dich
Auswertung und Analyse von Performance-Daten auf allen relevanten Social-Media-Kanälen
Nutzung von Analyse-Tools (Sprinklr, Google Analytics, Google Looker Studio etc.)
Ableiten und Präsentieren von relevanten Erkenntnissen und Empfehlungen
Optimierung/Automatisierung von Datenverarbeitung und Prozessen
Visuelle Datenaufbereitung & Dashboarding
Unterstützung von interdisziplinären Projektteams
Die Chance, mit einer der weltweit führenden Automobilmarken zu arbeiten

Was bringst du mit
Expertise im Bereich Social Media Analytics, zusätzliche Kenntnisse in Social-Media-Strategie und Advertising
Ein Gespür für Zahlen
Kompetenz im Umgang mit den aktuell relevanten Social-Media-Netzwerken
Fähigkeit zum Aufbau vertrauensvoller Kund:innenbeziehungen
Sicherer Umgang mit MS Office und eine unbändige Excel-Leidenschaft
Ausgezeichnete Deutsch- und gute Englischkenntnisse
Interesse an der Automobilbranche ist von Vorteil

Wer wir sind
Seit 2008 Kreativagentur und Unternehmensberatung mit über 200 sehr guten Leuten an unserem Standort in Berlin-Kreuzberg.
Autonomie, Vertrauen und Gestaltungsspielraum sind unsere Vision der modernen Arbeitswelt von morgen.
Wir unterstützen uns gegenseitig und glauben an die kulturstiftende Wirkung von regelmäßigen Teamevents zur beruflichen und persönlichen Weiterentwicklung.
Diversity, Gleichberechtigung sowie eine gesunde Work-Life Balance gehören zu unseren wichtigsten Werten.
Unser transparenter Feedbackprozess trägt bei uns zu einer offenen und wertschätzenden Kommunikationskultur bei.
Wir wollen zu deinem Leben passen. Zur Unterstützung in jeder Lebensphase bieten wir den vollen Work-Life-Care-Service des Fürstenberg Instituts an.

Was wir bieten
Hybrides Arbeitszeitmodell mit flexiblen Arbeitszeiten
Regelmäßige Teamevents
Bis zu vier Wochen im Jahr im EU-Ausland arbeiten
30 Urlaubstage für alle Mitarbeiter:innen
Unbefristeter Vertrag nach 6-monatiger Probezeit
Raum zur Entfaltung und zum eigenverantwortlichen Arbeiten in deiner neuen Rolle
Jährliches Weiterbildungsbudget mit individuellem Gestaltungsspielraum

Wir freuen uns über deine digitale Bewerbung unter Angabe deines optimalen Einstiegstermins an talent@tlgg.de."
Senior Marketing Data Analyst,Germany,Remote,"📊 Role: Senior Marketing Data Analyst
📍 Location: Germany, UK, Portugal, or Spain
👩‍💻 Remote First
💵 Salary: Up to €84,000

Join a consumer health-tech startup, already having a significant impact on the well-being of millions. As a Marketing Data Analyst you'll have a significant impact on the growth of an already fast scaling business.

👩‍💻 Your Responsibilities:

Analysing and interpreting complex marketing datasets to extract meaningful insights.
Collaborating with cross-functional marketing teams to understand data requirements and provide actionable recommendations.
Developing and maintaining robust data models for marketing reporting and analysis.
Ensuring marketing data accuracy, completeness, and adherence to privacy and security standards.

🔧 You will need:

SQL and Python.
Experience using R ideally.
Experience delivering insights for marketing campaigns for growth.
Experience in a mobile app startup.

📈 You Should Apply if:

You want to work on a product with millions of users already with a mission worth getting behind.
You have a solid understanding of statistical concepts and data visualisation techniques within a marketing context.
You have working in mobile app first startup or scaleup. 
Experience with Presto/Trino, Datalore, dbt, R/Tidyverse, ggplot2 is a plus.

📧 - CV's to phoebe@foundbyfew.com"
Manufacturing Data Analyst @ Deltia (Remote within Europe),"Berlin, Berlin, Germany",Remote,"Your role

In This Role You Will

Leverage artificial intelligence to drive operational excellence in our customers
Work closely with our consulting and technical teams to actively identify solutions to increase efficiency, improve ergonomics, and reduce costs within our customers’ manufacturing processes
Combine traditional Lean Management and Six Sigma methods with artificial intelligence to drive process optimization
Analyze processes and business data to support strategic decisions and calculate their monetary impact
Monitor and report the progress of process improvement initiatives including their actual monetary business impact
Create and maintain process documentation and standards using Deltia’s AI software

Your profile

Requirements

Enrolled or recently graduate from a Master’s program in Business Administration, Information Systems, Engineering or a related field
1+ years of experience in a startup or consultancy environment
Excellent communication and interpersonal skills to interact effectively with team members and clients
Experience in analyzing and optimizing business processes
Dedication and drive in solving customer problems
Strong analytical skills and experience using data analysis tools (e.g., Power BI) and with SQL
Proficiency in Microsoft Office Suite, especially Excel for data analysis
Fluent written and spoken English skills; German is a plus

Nice-to-have

Knowledge of project management and process improvement methods such as Lean Management and Six Sigma
Experience in the manufacturing industry is an advantage, but not essential
Experience with Python or R is a plus

What we offer

Paid internship position
Be on the forefront in defining what artificial intelligence means in manufacturing
Gain hands-on experience in working in an AI-first software company
The option to work in a brand new office situated on the AI Campus in Berlin where we closely cooperate with other exciting AI ventures
Work remotely from anywhere in Europe
Supportive and inclusive culture that values diversity and promotes the advancement of underrepresented groups within the company
Collaborate with a diverse (currently more than 10 nationalities) and talented team, working on cutting-edge projects with real-world impact
Network with professionals and leaders in the field, opening doors to potential future career opportunities
Ethics⚖️: We are committed to developing ethical AI software

Apply for this job

About Us

We're a dynamic AI startup reshaping manufacturing with advanced tech like computer vision and AI. Our mission? Empower workers to boost productivity using cutting-edge tools. Starting with assembly processes, we'll expand to logistics and more.

Led by Max, who digitized 40 factories, and Silviu, a computer vision expert, our team includes top talent from ETH, MIT, and industry leaders. We value hard work, creativity, and diversity. Backed by Merantix and Cavalry, we offer comprehensive benefits, flexible schedules, and a supportive work environment.

Join us on the Berlin AI Campus, part of a vibrant ecosystem of engineers and entrepreneurs from top universities worldwide."
Marketing Data Analyst (m/f/d),"Berlin, Berlin, Germany",Hybrid,"As a Marketing BI Analyst (m/f/d) in the Global Digital Marketing & Sales Operations Team, you will be primarily responsible for generating and preparing data-driven insights for our marketing, service, and sales activities. By aggregating, analyzing, and visualizing data from various sources, you will play a key role in optimizing our customer journey, enhancing the efficiency of our marketing and lead generation campaigns, improving call center management processes, and supporting strategic decision-making.

Your impact

Conducting customer journey analyses using Global Digital Marketing data to identify trends and derive actionable recommendations.
Developing, maintaining, and optimizing dashboards and reports in Power BI and Google Sheets for KPI visualization and monitoring.
Automating and optimizing data processes while ensuring data quality using Python, SQL, and Databricks.
Supporting central and global marketing teams with planning, forecasting, and ongoing monitoring of their target KPIs.
Creating country-specific analyses to drive growth and optimize the use of digital marketing channels in individual markets.
Collaborating closely with the Data Engineering and Data Science teams within Viessmann IT.
Preparing results in the form of presentations, reports, and summaries for relevant stakeholders.

Who You Are

A completed degree in business administration, economics, data science, or a comparable analytical field.
Several years of professional experience in business intelligence, data analytics, CRM, or a similar analytical area.
Strong analytical skills and knowledge of statistics and data modeling.
Extensive experience with tools like Power BI, Google Data Studio, Databricks, and ideally Python, SQL, or similar technologies.
Experience in analyzing CRM, call center, and/or performance marketing data.
Ability to effectively prepare and present complex data in an understandable and impactful way.
Independent, structured working style and enjoyment of working in an international, cross-functional team.
Language skills in German and English (at least Level B2).

Even if you don't fulfill all of the above but are ready to take this challenge on as a next step, go ahead and press “Apply” anyway. We love your spirit!

What Makes Us Special

Our employees are the key to make our vision come alive. With that in mind, we‘ve created a range of perks for our employees:

A permanent position awaits you at our business where new technologies meet a modern workplace culture.
Viessmann Climate Solutions offers 30 days of paid vacation a year.
Once you join Viessmann, you can refer other great candidates and receive a referral bonus if they are hired.
Enjoy cool exclusive discounts on selected Viessmann Climate Solutions products and services.
Need a quick energy boost? Free healthy snacks and drinks are provided for you.
For a healthier community: Our health program offers easy access to coaching and therapy for our employees and their families.
Whether commuting by Job Bike or travelling by Europcar - our partnerships will protect the environment and your wallet.
The Viessmann academy and external partners offer a wide range of professional and personal training opportunities.
Whenever possible, Viessmann offers the option of mobile working and also provides the needed technical equipment.
Celebrate and have a great time with your co-workers at our individualized events, like our monthly breakfast or other team events.
Our flexible working hours allow you to balance your work and private life.
Daycare center or school closed? No problem! Your child will find toys and enough space to play-- and you have a fully equipped workplace to work in our child-parent room.

Who We Are

We are Viessmann Climate Solutions. Founded in 1917 as a heating technology manufacturer, and now part of Carrier, we are today one of the world's leading providers of efficient and systemic climate and renewable energy solutions. We cover all applications: heating, cooling, ventilation, water and air quality, energy generation, and energy storage for the residential and commercial sector.

Our integrated solution offering seamlessly connects products and systems via digital platforms and services to a holistic climate and energy solution, thus creating a safe and reliable feel-good climate for our users. All activities are driven by our company purpose, ""We create living spaces for generations to come"" and our employees are passionate about playing an active role in the energy transition. Join us on this exciting journey now."
Business Data Analyst,"Berlin, Berlin, Germany",Hybrid,"CoachHub is on a mission to democratise coaching for all career levels worldwide. We need an amazing team to achieve this, so we’re bringing together kind, smart and highly-skilled people from all corners of the globe.

If you'd like to shape the success story of a fast-growing, award-winning company and the leading global digital coaching platform - get in touch! 

We're seeking a Business Data Analyst to join our BI and Analytics team on our journey to leading data insights in our organization. This is a great opportunity to bridge the gap between data and business strategy, driving measurable impact.

The new team member responsible for identifying opportunities to grow, optimize, and improve our organization’s business processes. The ideal candidate will possess strong analytical skills, excellent communication abilities, and be a fast learner. On a daily basis, you will work with the rest of the data team to understand our data to both create our roadmap while also being a direct contributor to our insights.

The Impact You'll Make

Transform complex business questions into actionable data insights that drive strategic decision-making
Partner with business stakeholders to uncover optimization opportunities and improve operational efficiency
Lead the identification and measurement of key performance indicators (KPIs) that matter most to our business
Collaborate with cross-functional teams to implement data-driven improvements

Responsibilities

Build strong relationships with stakeholders to understand their needs and challenges
Translate business requirements into analytical frameworks and solutions
Present insights and recommendations to leadership in clear, actionable terms
Identify patterns and trends in complex datasets that drive business value
Contribute to data quality initiatives to ensure accuracy and reliability of insights
Propose and implement innovative solutions to business challenges
Contribute to the evolution of our analytics capabilities and best practice

What You'll Bring

Bachelor's degree in Business, Analytics, Statistics, or related field
3+ years of experience in business analysis or data analytics
Strong proficiency in SQL and data visualization tools (e.g., Tableau, Power BI)
Strong storytelling abilities to make data insights accessible and actionable
Excellent analytical and problem-solving skills
Outstanding communication abilities with both technical and non-technical audiences
Proven track record of delivering impactful business insights
Ability to think strategically while executing tactically

Why CoachHub

Flexible hybrid work policy
Your own professional career coach
Join a fast-growing, agile company with a meaningful mission.
Be part of an international team dedicated to making a real difference in people's lives.
Exceptional onboarding experience, both remotely and in-house.
Work at the cutting edge of the future of work in a truly global environment.


About CoachHub

CoachHub is your trusted global talent development platform. We enable behavioral change with world class coaching delivered through our state-of-the-art digital platform. Every day, we reinvent people development to support individual, collective and organizational transformation.

Our scientific, holistic coaching approach has been formulated by our Innovation Lab, a collective of in-house learning experts, behavioral scientists and a dedicated Science Council of research leaders from around the world. Together, they leverage scientific evidence and platform insights to maximize business impact and drive innovation at CoachHub.

Our global pool of over 3,500 certified business coaches in 90 countries offer coaching sessions in over 80 languages to more than 1,000 enterprise clients across six continents and are supported by our international team of over 400 dedicated CoachHubbers.

We provide personalized, one-on-one coaching at scale with our AI-enabled technology platform that offers a simple and elegant user experience and a seamless coaching journey.

In June 2022, CoachHub closed a $200M Series C funding round, bringing its total funding to $330M. Read more about our announcement and plan for the future here."
"Senior Data Analyst / Decision Scientist, Help Experience","Berlin, Berlin, Germany",Full-time,"Brief info about Vinted

Vinted Marketplace is the largest online international C2C marketplace in Europe dedicated to second-hand fashion, with millions of registered members spanning 20+ markets in Europe and North America. With a mission to make second-hand the first choice worldwide, Vinted enables people to sell and buy second-hand clothes and lifestyle items from each other, helping give those items a second or even third life.

Vinted Go launched in 2022, with a focus on developing products and solutions for more seamless shipping and delivery across Europe. Vinted Go has connected more than 40 carriers and more than 200,000 PUDO points across Europe to support the delivery of millions of parcels per year.

The Vinted Group, composed of Vinted Marketplace and Vinted Go, is headquartered in Vilnius, with workplaces in Germany, Lithuania, France, the United Kingdom, the Netherlands and over 2,000 employees. It is backed by six leading venture capital firms: Accel, Burda Principal Investments, EQT Growth, Insight Partners, Lightspeed Venture Partners, and Sprints Capital.

Information about the position

As a Decision Scientist in our Help Experience domain, you’ll play a key role in enhancing the support experience for our Vinted members. This role will be embedded in a new cross-functional product team within the domain, where you will take the lead in driving experimentation. You will collaborate closely with your team to deliver impactful, data-informed decisions that improve quality, scalability, and efficiency in support operations through automation, self-service, and operational excellence.

We’re looking for someone who is a strategic thinker, a problem solver, with a strong data background, who aims high. You like to work in a fast-changing environment, and you are passionate about the product we’re building together.

Next to the product team you will be part of the cross-domain Data Science & Analytics (DSA) guild where you will interact and learn from all data people in Vinted. Within Data Science & Analytics (DSA) we have three distinct roles. To understand your role within DSA context better, here are brief descriptions of each role we have in the department:

Decision Scientists are responsible for actionable insights, identifying and sizing opportunities, and automated tools that increase the quality of product and business decisions by applying statistical methods and data-driven decision making. 
Analytics Engineers are responsible for data curation – translating data needs from stakeholders into architecting, building and maintaining efficient & reliable data models and pipelines. 
Data Scientists are responsible for identification of algorithmic opportunities, ensuring those opportunities are addressed in an optimal fashion and design, development and maintenance of production-grade statistical and machine learning algorithms. 

You will report to the Director of Data Science & Analytics in Help Experience and work closely with other leaders in the domain, particularly in the data science & analytics and product functions.

In this position, you’ll

Collaborate with your team and direct stakeholders to identify strategic opportunities and answer key business questions
Ensure these questions are answered in an optimal fashion (e.g. in the form of an ad hoc deep-dive, experiment, dashboard, or automatically recurring analysis)
Analyse identified opportunities to understand their scope and impact (i.e. size opportunities)
Own the key performance indicators for a team, including selection, tracking, forecasting, and proactively flagging issues
Enable your team and direct stakeholders to independently leverage data for business insights via self-serving and dashboarding tools (Looker)
Define the requirements for (A/B) testing and analyze the results of (A/B) tests
Help to create a backlog with prioritized hypotheses and analyses

About You

Demonstratable experience as a Decision Scientist, Data Analyst, Product Analyst
BSc or MSc in Applied Mathematics, Data Science, Computer Science, Economics, Statistics, Econometrics, or another related field (equivalent working experience is also acceptable)
Highly business-oriented and comfortable with iterative processes
A good communicator who can present complex topics clearly and persuasively to different audiences
Excellent written and spoken English
Are able to balance between analyses depth (time needed) and business impact
Ability to deal with uncertainty and to combine data insights with strategic thinking
Statistical proficiency (e.g. A/B testing, regression analysis)
Advanced knowledge of at least one statistical programming language (Python, R, etc.)
Fluency with SQL and experience with dashboarding tools (e.g. Looker, Tableau, etc.)

Work perks

The opportunity to benefit from our share options programme
30 days of paid annual leave
Newest MacBook models
Mental and emotional health support through the Mindletic app
Home office support: we provide IT workstation equipment and a personal budget of up to €540 for home workplace furniture
A daily lunch allowance
Frequent team-building events
A personal monthly budget for shopping on Vinted
A subsidised gym membership with ClassPass or Urban Sports Card
A subsidised pension plan provided by Vinted
Hallesche Supplemental health insurance
Life and disability insurance provided
A subsidised Deutschlandticket
The opportunity to spend up to 90 days per year - 21 of which can be spent working outside of the EU - on workation
A dog-friendly office

Working at Vinted

Individual Learning Budget

We invest in your professional growth! As part of our commitment to continuous learning, we offer an annual learning budget to support your personal and career development through courses, certifications, workshops and more.

Hybrid Work

We’ve adopted a hybrid workplace model where 2 days in the office are recommended but not enforced. It’s up to you and your team to decide on the exact days you’ll spend working together in person.

Equal Opportunity

The Vinted Group is committed to building an inclusive workplace where people from all walks of life feel a sense of belonging. We welcome applications from people of all backgrounds, identities and life experiences. At Vinted, all applicants are treated fairly without regard to their race, age, religion or belief, sex, national origin, citizenship, gender identity, sexual orientation, disability, or any other protected characteristic.

The base salary range for this position is €69,000 - €90,000 gross per year."
Data Analyst,European Union,Remote,"We are seeking a skilled Data Analyst to join Revpanda. 
The ideal candidate will be responsible for analyzing and interpreting data related to revenue, client, player behavior, registrations, FTD (First-Time Depositors), payback, and marketing efforts. Your insights will support strategic decisions and optimize our marketing and operational strategies.


Responsibilities:
Data Collection & Analysis: Gather, process, and analyze data from various sources, including player behavior, registration, FTD, payback, and marketing and financial campaigns.
Reporting & Dashboards: Develop and maintain comprehensive dashboards and reports to monitor key performance indicators (KPIs) and business metrics.
Insights & Recommendations: Identify trends, patterns, and anomalies in the data, providing actionable insights and recommendations to improve business outcomes.
Collaboration: Work closely with marketing, product development, and operational teams to understand their data needs and deliver relevant insights.
Market Analysis: Conduct market and competitor analysis to identify opportunities for growth and optimization.
Data Integrity: Ensure data accuracy and integrity through regular data quality checks and validation processes.
Visualization: Create clear and effective data visualizations to communicate complex data insights to non-technical stakeholders.


Requirements:
Bachelor’s degree in Data Science, Statistics, Mathematics, Economics, Computer Science, or a related field.
Proven experience as a Data Analyst, preferably in the iGaming, digital marketing, or related industries.
Proficiency in data analysis tools and software such as SQL, Excel, Looker Studio, Power BI, or similar.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Experience with statistical analysis and data visualization techniques.
Familiarity with digital marketing metrics and iGaming industry trends.
Excellent communication skills with the ability to present complex data insights in a clear and concise manner.
Strong problem-solving skills and the ability to think critically and strategically.
Ability to work independently and as part of a team in a fast-paced environment.

Preferred Qualifications:
Knowledge of web analytics tools (e.g., Google Analytics).
Experience with A/B testing and data-driven experimentation.

What we offer:
Friendly and supportive colleagues
Diverse opportunities for professional growth and career development
Possibility to take part in international conferences and online courses
Competitive salary
Birthday day off
""Refer a friend"" bonus
Corporate events
LinkedIn Learning complimentary access"
Fabric Data Analytics Consultant,Germany,Remote,"Job Title: Fabric Data Analytics Consultant

Our customer is searching for a Fabric Data Analytics Consultant to join their dynamic team and drive end-to-end analytics solutions for our clients using Microsoft Fabric.

In this role, you will deliver innovative data strategies, build scalable analytics platforms, and unlock business insights by leveraging Fabric components such as Data Engineering, Data Factory, Synapse and Power BI.

Key Responsibilities:
Collaborate with clients to design and implement data analytics solutions using Microsoft Fabric.
Build and optimize data pipelines, lakehouses, and real-time analytics solutions.
Develop robust data models, reporting solutions, and dashboards in Power BI.
Guide clients on best practices for data integration, governance, and performance.
Support business development by identifying opportunities to enhance client analytics capabilities.
Provide technical expertise and guidance on Microsoft Fabric to project teams.

Requirements:
Proven experience with Microsoft Fabric and related technologies (Data Factory, Synapse, Power BI, Real-Time Analytics).
Strong understanding of data architecture, ETL/ELT processes, and cloud analytics solutions.
Proficiency in SQL, data modelling, and scripting languages like Python.
Excellent consulting, communication, and client-facing skills.
Ability to manage multiple projects and deliver results in a fast-paced environment.

Preferred:
Microsoft certifications (e.g., Fabric Analytics Engineer Associate, Power BI Data Analyst Associate).
Prior experience in a consulting partner or client-facing role"
